transaction_id,person_id,account_ref,timestamp,amount,debit_credit,counterparty,merchant,location_id,channel,reference_number,description,source_system
TXN00039,P002,ACC-P002,2026-01-12 10:45:21,800,debit,Electricity Board,Electricity Board,,UPI,REF294063,Utility bill,Bank Core System
TXN00040,P002,ACC-P002,2026-02-08 10:20:55,32000,credit,Kalinga Softtech Pvt Ltd,Kalinga Softtech Pvt Ltd,L011,NEFT,REF688120,Salary credit,Bank Core System
TXN00041,P002,ACC-P002,2026-02-10 16:40:56,8000,debit,Landlord/Housing,Rent Payment,L014,IMPS,REF338255,Monthly rent,Bank Core System
TXN00042,P002,ACC-P002,2026-02-12 09:55:27,950,debit,Electricity Board,Electricity Board,,UPI,REF992496,Utility bill,Bank Core System
TXN00043,P002,ACC-P002,2026-02-10 19:20:59,2494,debit,Cafe Coffee Junction,Union Trust Bank,L015,NEFT,REF264448,Restaurant payment,Bank Core System
TXN00044,P002,ACC-P002,2026-03-17 21:30:09,1722,debit,Cafe Coffee Junction,BSNL Broadband,L002,Cash Deposit,REF679261,Miscellaneous,Bank Core System
TXN00045,P002,ACC-P002,2025-12-19 10:30:12,1320,debit,Electricity Board,Local Kirana Store,L006,Cash Deposit,REF477960,Restaurant payment,Bank Core System
TXN00046,P002,ACC-P002,2026-03-24 12:40:50,1661,debit,Nandipur City Mall,Nandipur City Mall,L007,ATM Withdrawal,REF334268,Fuel purchase,Bank Core System
TXN00047,P002,ACC-P002,2025-10-01 11:50:46,2378,debit,BSNL Broadband,BSNL Broadband,L015,ATM Withdrawal,REF678170,Grocery,Bank Core System
TXN00048,P002,ACC-P002,2026-04-03 19:50:22,1726,debit,Amazon,HP Fuel Station,L018,Credit Card,REF538773,Grocery,Bank Core System
TXN00049,P002,ACC-P002,2026-04-06 20:55:45,597,debit,Cafe Coffee Junction,Spice Route Restaurant,L024,Cash Deposit,REF108151,Fuel purchase,Bank Core System
TXN00050,P002,ACC-P002,2026-01-30 14:15:03,1668,debit,Amazon,Water Board,L009,ATM Withdrawal,REF807604,Online purchase,Bank Core System
TXN00051,P002,ACC-P002,2025-09-14 15:20:23,1572,debit,Nandipur City Mall,Water Board,L001,UPI,REF221081,Fuel purchase,Bank Core System
TXN00052,P002,ACC-P002,2026-03-05 11:15:48,1383,debit,Local Kirana Store,Nandipur City Mall,L023,IMPS,REF494316,Restaurant payment,Bank Core System
TXN00053,P002,ACC-P002,2025-12-21 19:55:37,1451,debit,Spice Route Restaurant,Spice Route Restaurant,L007,Cash Deposit,REF546777,Fuel purchase,Bank Core System
TXN00054,P002,ACC-P002,2026-02-12 15:30:44,2972,debit,Cafe Coffee Junction,Water Board,L007,UPI,REF629324,Fuel purchase,Bank Core System
TXN00055,P003,ACC-P003,2025-09-12 10:40:15,28000,credit,Nandipur Herald,Nandipur Herald,L002,NEFT,REF375243,Salary credit,Bank Core System
TXN00056,P003,ACC-P003,2025-09-14 10:05:29,8000,debit,Landlord/Housing,Rent Payment,L021,IMPS,REF437777,Monthly rent,Bank Core System
TXN00057,P003,ACC-P003,2025-09-16 10:40:01,1500,debit,Electricity Board,Electricity Board,,UPI,REF487486,Utility bill,Bank Core System
TXN00058,P003,ACC-P003,2025-10-12 09:20:23,75000,credit,Nandipur Herald,Nandipur Herald,L002,NEFT,REF714156,Salary credit,Bank Core System
TXN00059,P003,ACC-P003,2025-10-14 12:15:05,15000,debit,Landlord/Housing,Rent Payment,L021,IMPS,REF194965,Monthly rent,Bank Core System
TXN00060,P003,ACC-P003,2025-10-16 16:35:35,800,debit,Electricity Board,Electricity Board,,UPI,REF356911,Utility bill,Bank Core System
TXN00061,P003,ACC-P003,2025-11-09 11:45:30,55000,credit,Nandipur Herald,Nandipur Herald,L002,NEFT,REF785230,Salary credit,Bank Core System
TXN00062,P003,ACC-P003,2025-11-11 15:05:33,15000,debit,Landlord/Housing,Rent Payment,L021,IMPS,REF449541,Monthly rent,Bank Core System
TXN00063,P003,ACC-P003,2025-11-13 15:55:42,1200,debit,Electricity Board,Electricity Board,,UPI,REF413988,Utility bill,Bank Core System
TXN00064,P003,ACC-P003,2025-12-11 09:40:24,68000,credit,Nandipur Herald,Nandipur Herald,L002,NEFT,REF242330,Salary credit,Bank Core System
TXN00065,P003,ACC-P003,2025-12-13 15:45:48,8000,debit,Landlord/Housing,Rent Payment,L021,IMPS,REF800171,Monthly rent,Bank Core System
TXN00066,P003,ACC-P003,2025-12-15 10:25:29,1500,debit,Electricity Board,Electricity Board,,UPI,REF902036,Utility bill,Bank Core System
TXN00067,P003,ACC-P003,2026-01-09 09:25:42,32000,credit,Nandipur Herald,Nandipur Herald,L002,NEFT,REF678027,Salary credit,Bank Core System
TXN00068,P003,ACC-P003,2026-01-11 18:05:35,12000,debit,Landlord/Housing,Rent Payment,L021,IMPS,REF297649,Monthly rent,Bank Core System
TXN00069,P003,ACC-P003,2026-01-13 18:45:34,1200,debit,Electricity Board,Electricity Board,,UPI,REF357723,Utility bill,Bank Core System
TXN00070,P003,ACC-P003,2026-02-10 11:55:16,55000,credit,Nandipur Herald,Nandipur Herald,L002,NEFT,REF443711,Salary credit,Bank Core System
TXN00071,P003,ACC-P003,2026-02-12 18:40:16,8000,debit,Landlord/Housing,Rent Payment,L021,IMPS,REF605437,Monthly rent,Bank Core System
TXN00072,P003,ACC-P003,2026-02-14 15:40:34,950,debit,Electricity Board,Electricity Board,,UPI,REF850469,Utility bill,Bank Core System
TXN00073,P003,ACC-P003,2026-01-06 16:25:33,2138,debit,Highway Auto Works,Water Board,L024,Credit Card,REF948603,Grocery,Bank Core System
TXN00074,P003,ACC-P003,2026-01-14 15:10:00,178,debit,Local Kirana Store,Cafe Coffee Junction,L023,ATM Withdrawal,REF868010,Online purchase,Bank Core System
TXN00075,P003,ACC-P003,2026-02-03 08:15:49,1190,debit,Local Kirana Store,Nandipur City Mall,L019,IMPS,REF331525,Restaurant payment,Bank Core System
TXN00076,P003,ACC-P003,2026-01-24 08:50:05,1576,debit,HP Fuel Station,Water Board,L012,NEFT,REF726504,Fuel purchase,Bank Core System
TXN00077,P003,ACC-P003,2026-04-21 16:55:44,2421,debit,Highway Auto Works,Highway Auto Works,L007,Cash Deposit,REF859588,Miscellaneous,Bank Core System
TXN00078,P003,ACC-P003,2026-03-16 10:55:28,3723,debit,Cafe Coffee Junction,Cafe Coffee Junction,L026,NEFT,REF863554,Restaurant payment,Bank Core System
TXN00079,P003,ACC-P003,2026-03-16 19:55:08,699,debit,HP Fuel Station,Highway Auto Works,L015,NEFT,REF685086,Grocery,Bank Core System
TXN00080,P003,ACC-P003,2026-02-23 18:15:51,922,debit,Spice Route Restaurant,Nandipur City Mall,L007,ATM Withdrawal,REF498387,Online purchase,Bank Core System
TXN00081,P003,ACC-P003,2026-01-06 19:35:50,2966,debit,BSNL Broadband,Highway Auto Works,L020,Debit Card,REF334196,Miscellaneous,Bank Core System
TXN00082,P003,ACC-P003,2026-04-25 09:35:08,1045,debit,Cafe Coffee Junction,Highway Auto Works,L008,ATM Withdrawal,REF785206,Fuel purchase,Bank Core System
TXN00083,P003,ACC-P003,2025-12-11 16:40:32,1980,debit,Electricity Board,Nandipur City Mall,L018,Credit Card,REF425341,Online purchase,Bank Core System
TXN00084,P004,ACC-P004,2025-09-13 10:20:48,55000,credit,Kalinga Softtech Pvt Ltd,Kalinga Softtech Pvt Ltd,L023,NEFT,REF456962,Salary credit,Bank Core System
TXN00085,P004,ACC-P004,2025-09-15 16:15:55,15000,debit,Landlord/Housing,Rent Payment,L021,IMPS,REF449340,Monthly rent,Bank Core System
TXN00086,P004,ACC-P004,2025-09-17 17:50:27,1200,debit,Electricity Board,Electricity Board,,UPI,REF285576,Utility bill,Bank Core System
TXN00087,P004,ACC-P004,2025-10-11 09:55:40,68000,credit,Kalinga Softtech Pvt Ltd,Kalinga Softtech Pvt Ltd,L023,NEFT,REF208611,Salary credit,Bank Core System
TXN00088,P004,ACC-P004,2025-10-13 14:35:14,9500,debit,Landlord/Housing,Rent Payment,L021,IMPS,REF158176,Monthly rent,Bank Core System
TXN00089,P004,ACC-P004,2025-10-15 10:35:48,1200,debit,Electricity Board,Electricity Board,,UPI,REF942362,Utility bill,Bank Core System
TXN00090,P004,ACC-P004,2025-11-09 10:15:33,35000,credit,Kalinga Softtech Pvt Ltd,Kalinga Softtech Pvt Ltd,L023,NEFT,REF735962,Salary credit,Bank Core System
TXN00091,P004,ACC-P004,2025-11-11 16:10:04,12000,debit,Landlord/Housing,Rent Payment,L021,IMPS,REF759751,Monthly rent,Bank Core System
TXN00092,P004,ACC-P004,2025-11-13 19:40:30,950,debit,Electricity Board,Electricity Board,,UPI,REF114182,Utility bill,Bank Core System
TXN00093,P004,ACC-P004,2025-12-11 11:50:47,32000,credit,Kalinga Softtech Pvt Ltd,Kalinga Softtech Pvt Ltd,L023,NEFT,REF703534,Salary credit,Bank Core System
TXN00094,P004,ACC-P004,2025-12-13 18:50:16,12000,debit,Landlord/Housing,Rent Payment,L021,IMPS,REF876165,Monthly rent,Bank Core System
TXN00095,P004,ACC-P004,2025-12-15 14:15:12,950,debit,Electricity Board,Electricity Board,,UPI,REF768976,Utility bill,Bank Core System
TXN00096,P004,ACC-P004,2026-01-10 11:35:28,35000,credit,Kalinga Softtech Pvt Ltd,Kalinga Softtech Pvt Ltd,L023,NEFT,REF583709,Salary credit,Bank Core System
TXN00097,P004,ACC-P004,2026-01-12 11:45:08,8000,debit,Landlord/Housing,Rent Payment,L021,IMPS,REF291049,Monthly rent,Bank Core System
TXN00098,P004,ACC-P004,2026-01-14 11:40:49,1500,debit,Electricity Board,Electricity Board,,UPI,REF239189,Utility bill,Bank Core System
TXN00099,P004,ACC-P004,2026-02-10 09:00:46,32000,credit,Kalinga Softtech Pvt Ltd,Kalinga Softtech Pvt Ltd,L023,NEFT,REF545457,Salary credit,Bank Core System
TXN00100,P004,ACC-P004,2026-02-12 18:30:38,8000,debit,Landlord/Housing,Rent Payment,L021,IMPS,REF759475,Monthly rent,Bank Core System
TXN00101,P004,ACC-P004,2026-02-14 18:45:47,1500,debit,Electricity Board,Electricity Board,,UPI,REF244360,Utility bill,Bank Core System
TXN00102,P004,ACC-P004,2025-11-16 11:55:25,3326,debit,Nandipur City Mall,Spice Route Restaurant,L002,IMPS,REF472971,Restaurant payment,Bank Core System
TXN00103,P004,ACC-P004,2026-04-02 13:20:07,4248,debit,Electricity Board,Flipkart,L010,ATM Withdrawal,REF739487,Online purchase,Bank Core System
TXN00104,P004,ACC-P004,2025-11-13 17:40:24,869,debit,Flipkart,Amazon,L005,NEFT,REF370710,Miscellaneous,Bank Core System
TXN00105,P004,ACC-P004,2026-03-03 21:15:51,549,debit,Nandipur City Mall,Spice Route Restaurant,L014,ATM Withdrawal,REF789419,Restaurant payment,Bank Core System
TXN00106,P004,ACC-P004,2025-11-27 11:50:22,1655,debit,Water Board,BSNL Broadband,L001,UPI,REF718969,Fuel purchase,Bank Core System
TXN00107,P004,ACC-P004,2026-01-21 08:45:25,2194,debit,Cafe Coffee Junction,HP Fuel Station,L004,UPI,REF395581,Online purchase,Bank Core System
TXN00108,P005,ACC-P005,2025-09-12 11:15:03,35000,credit,Self-employed,Self-employed,L004,NEFT,REF956163,Salary credit,Bank Core System
TXN00109,P005,ACC-P005,2025-09-14 12:15:59,8000,debit,Landlord/Housing,Rent Payment,L021,IMPS,REF696170,Monthly rent,Bank Core System
TXN00110,P005,ACC-P005,2025-09-16 19:40:24,1500,debit,Electricity Board,Electricity Board,,UPI,REF957671,Utility bill,Bank Core System
TXN00111,P005,ACC-P005,2025-10-11 10:30:49,75000,credit,Self-employed,Self-employed,L004,NEFT,REF621561,Salary credit,Bank Core System
TXN00112,P005,ACC-P005,2025-10-13 18:50:02,8000,debit,Landlord/Housing,Rent Payment,L021,IMPS,REF214738,Monthly rent,Bank Core System
TXN00113,P005,ACC-P005,2025-10-15 20:15:09,1200,debit,Electricity Board,Electricity Board,,UPI,REF348405,Utility bill,Bank Core System
TXN00114,P005,ACC-P005,2025-11-11 10:45:10,28000,credit,Self-employed,Self-employed,L004,NEFT,REF849600,Salary credit,Bank Core System
TXN00115,P005,ACC-P005,2025-11-13 14:50:37,8000,debit,Landlord/Housing,Rent Payment,L021,IMPS,REF509305,Monthly rent,Bank Core System
TXN00116,P005,ACC-P005,2025-11-15 18:10:33,1200,debit,Electricity Board,Electricity Board,,UPI,REF822103,Utility bill,Bank Core System
TXN00117,P005,ACC-P005,2025-12-11 11:50:53,32000,credit,Self-employed,Self-employed,L004,NEFT,REF810692,Salary credit,Bank Core System
TXN00118,P005,ACC-P005,2025-12-13 17:55:27,9500,debit,Landlord/Housing,Rent Payment,L021,IMPS,REF482527,Monthly rent,Bank Core System
TXN00119,P005,ACC-P005,2025-12-15 10:20:46,950,debit,Electricity Board,Electricity Board,,UPI,REF650616,Utility bill,Bank Core System
TXN00120,P005,ACC-P005,2026-01-09 11:20:23,55000,credit,Self-employed,Self-employed,L004,NEFT,REF666621,Salary credit,Bank Core System
TXN00121,P005,ACC-P005,2026-01-11 13:50:28,6000,debit,Landlord/Housing,Rent Payment,L021,IMPS,REF951862,Monthly rent,Bank Core System
TXN00122,P005,ACC-P005,2026-01-13 16:40:56,1500,debit,Electricity Board,Electricity Board,,UPI,REF701360,Utility bill,Bank Core System
TXN00123,P005,ACC-P005,2026-02-08 09:20:17,28000,credit,Self-employed,Self-employed,L004,NEFT,REF289817,Salary credit,Bank Core System
TXN00124,P005,ACC-P005,2026-02-10 18:55:36,6000,debit,Landlord/Housing,Rent Payment,L021,IMPS,REF407760,Monthly rent,Bank Core System
TXN00125,P005,ACC-P005,2026-02-12 10:15:12,950,debit,Electricity Board,Electricity Board,,UPI,REF374132,Utility bill,Bank Core System
TXN00126,P005,ACC-P005,2026-04-17 20:05:59,1389,debit,BSNL Broadband,Union Trust Bank,L001,IMPS,REF448263,Fuel purchase,Bank Core System
TXN00127,P005,ACC-P005,2026-03-01 11:00:13,2169,debit,Electricity Board,Union Trust Bank,L009,UPI,REF228975,Restaurant payment,Bank Core System
TXN00128,P005,ACC-P005,2026-01-14 19:10:39,449,debit,Nandipur City Mall,HP Fuel Station,L009,Debit Card,REF237701,Restaurant payment,Bank Core System
TXN00129,P005,ACC-P005,2026-04-25 12:05:12,3840,debit,Cafe Coffee Junction,Highway Auto Works,L023,NEFT,REF894300,Online purchase,Bank Core System
TXN00130,P005,ACC-P005,2025-09-12 16:05:18,3983,debit,Amazon,Local Kirana Store,L011,NEFT,REF543360,Restaurant payment,Bank Core System
TXN00131,P005,ACC-P005,2026-02-23 18:15:48,468,debit,Amazon,Spice Route Restaurant,L010,Debit Card,REF103604,Miscellaneous,Bank Core System
TXN00132,P005,ACC-P005,2025-10-28 13:50:33,2189,debit,Flipkart,Nandipur City Mall,L008,Credit Card,REF346049,Restaurant payment,Bank Core System
TXN00133,P005,ACC-P005,2025-09-19 12:05:49,2495,debit,Highway Auto Works,Nandipur City Mall,L012,IMPS,REF842585,Restaurant payment,Bank Core System
TXN00134,P005,ACC-P005,2026-01-09 15:35:08,2138,debit,Local Kirana Store,HP Fuel Station,L005,Debit Card,REF752752,Grocery,Bank Core System
TXN00135,P005,ACC-P005,2026-04-05 19:20:07,1633,debit,Water Board,HP Fuel Station,L012,UPI,REF372670,Restaurant payment,Bank Core System
TXN00136,P005,ACC-P005,2025-10-23 20:20:43,2805,debit,Spice Route Restaurant,Flipkart,L012,Cash Deposit,REF691250,Grocery,Bank Core System
TXN00137,P005,ACC-P005,2026-03-16 12:00:47,2789,debit,Water Board,Union Trust Bank,L021,IMPS,REF192872,Online purchase,Bank Core System
TXN00138,P005,ACC-P005,2026-04-05 13:00:25,1187,debit,BSNL Broadband,Union Trust Bank,L011,Credit Card,REF983158,Online purchase,Bank Core System
TXN00139,P006,ACC-P006,2025-09-11 10:40:33,42000,credit,Private household,Private household,L011,NEFT,REF631806,Salary credit,Bank Core System
TXN00140,P006,ACC-P006,2025-09-13 10:00:44,15000,debit,Landlord/Housing,Rent Payment,L014,IMPS,REF652600,Monthly rent,Bank Core System
TXN00141,P006,ACC-P006,2025-09-15 15:25:37,1200,debit,Electricity Board,Electricity Board,,UPI,REF286928,Utility bill,Bank Core System
TXN00142,P006,ACC-P006,2025-10-10 10:40:04,68000,credit,Private household,Private household,L011,NEFT,REF487564,Salary credit,Bank Core System
TXN00143,P006,ACC-P006,2025-10-12 14:55:22,15000,debit,Landlord/Housing,Rent Payment,L014,IMPS,REF684134,Monthly rent,Bank Core System
TXN00144,P006,ACC-P006,2025-10-14 10:30:39,1500,debit,Electricity Board,Electricity Board,,UPI,REF985959,Utility bill,Bank Core System
TXN00145,P006,ACC-P006,2025-11-09 09:45:39,28000,credit,Private household,Private household,L011,NEFT,REF317081,Salary credit,Bank Core System
TXN00146,P006,ACC-P006,2025-11-11 13:00:30,6000,debit,Landlord/Housing,Rent Payment,L014,IMPS,REF490322,Monthly rent,Bank Core System
TXN00147,P006,ACC-P006,2025-11-13 19:00:40,1200,debit,Electricity Board,Electricity Board,,UPI,REF497933,Utility bill,Bank Core System
TXN00148,P006,ACC-P006,2025-12-10 11:30:19,42000,credit,Private household,Private household,L011,NEFT,REF786562,Salary credit,Bank Core System
TXN00149,P006,ACC-P006,2025-12-12 16:40:04,12000,debit,Landlord/Housing,Rent Payment,L014,IMPS,REF604386,Monthly rent,Bank Core System
TXN00150,P006,ACC-P006,2025-12-14 15:10:50,950,debit,Electricity Board,Electricity Board,,UPI,REF396782,Utility bill,Bank Core System
TXN00151,P006,ACC-P006,2026-01-09 10:05:25,32000,credit,Private household,Private household,L011,NEFT,REF418345,Salary credit,Bank Core System
TXN00152,P006,ACC-P006,2026-01-11 17:05:55,12000,debit,Landlord/Housing,Rent Payment,L014,IMPS,REF913328,Monthly rent,Bank Core System
TXN00153,P006,ACC-P006,2026-01-13 18:55:18,1200,debit,Electricity Board,Electricity Board,,UPI,REF843485,Utility bill,Bank Core System
TXN00154,P006,ACC-P006,2026-02-07 09:30:43,68000,credit,Private household,Private household,L011,NEFT,REF940164,Salary credit,Bank Core System
TXN00155,P006,ACC-P006,2026-02-09 16:05:01,15000,debit,Landlord/Housing,Rent Payment,L014,IMPS,REF136275,Monthly rent,Bank Core System
TXN00156,P006,ACC-P006,2026-02-11 16:15:24,1500,debit,Electricity Board,Electricity Board,,UPI,REF972668,Utility bill,Bank Core System
TXN00157,P006,ACC-P006,2026-03-22 11:40:18,2409,debit,Water Board,HP Fuel Station,L015,Credit Card,REF188613,Fuel purchase,Bank Core System
TXN00158,P006,ACC-P006,2025-10-18 09:55:38,1329,debit,Water Board,Local Kirana Store,L001,Credit Card,REF188804,Restaurant payment,Bank Core System
TXN00159,P006,ACC-P006,2026-01-05 09:40:35,1245,debit,Spice Route Restaurant,HP Fuel Station,L012,UPI,REF404785,Restaurant payment,Bank Core System
TXN00160,P006,ACC-P006,2025-10-04 19:45:22,4258,debit,Cafe Coffee Junction,Water Board,L017,UPI,REF414796,Miscellaneous,Bank Core System
TXN00161,P006,ACC-P006,2026-03-17 15:45:07,2091,debit,Electricity Board,Spice Route Restaurant,L004,IMPS,REF342211,Online purchase,Bank Core System
TXN00162,P006,ACC-P006,2026-02-23 15:35:29,3173,debit,Electricity Board,Highway Auto Works,L010,Debit Card,REF715221,Restaurant payment,Bank Core System
TXN00163,P006,ACC-P006,2025-11-26 19:05:34,3043,debit,Water Board,Cafe Coffee Junction,L014,Cash Deposit,REF742546,Online purchase,Bank Core System
TXN00164,P006,ACC-P006,2025-11-15 14:30:43,2971,debit,BSNL Broadband,Amazon,L001,NEFT,REF100002,Restaurant payment,Bank Core System
TXN00165,P006,ACC-P006,2025-12-19 16:45:46,1706,debit,HP Fuel Station,Highway Auto Works,L004,IMPS,REF268485,Miscellaneous,Bank Core System
TXN00166,P006,ACC-P006,2026-03-19 16:10:57,1848,debit,BSNL Broadband,BSNL Broadband,L027,Debit Card,REF410858,Restaurant payment,Bank Core System
TXN00167,P006,ACC-P006,2025-11-24 12:00:40,508,debit,Highway Auto Works,Water Board,L012,IMPS,REF840063,Restaurant payment,Bank Core System
TXN00168,P006,ACC-P006,2025-11-03 15:10:28,3864,debit,Highway Auto Works,Highway Auto Works,L024,NEFT,REF621918,Grocery,Bank Core System
TXN00169,P006,ACC-P006,2025-10-13 20:35:58,2720,debit,Water Board,Local Kirana Store,L016,Cash Deposit,REF207808,Fuel purchase,Bank Core System
TXN00170,P006,ACC-P006,2025-09-30 14:05:41,1452,debit,Nandipur City Mall,Union Trust Bank,L025,ATM Withdrawal,REF150820,Online purchase,Bank Core System
TXN00171,P007,ACC-P007,2025-09-13 10:10:37,75000,credit,Self-employed,Self-employed,L011,NEFT,REF800972,Salary credit,Bank Core System
TXN00172,P007,ACC-P007,2025-09-15 10:05:15,8000,debit,Landlord/Housing,Rent Payment,L001,IMPS,REF437887,Monthly rent,Bank Core System
TXN00173,P007,ACC-P007,2025-09-17 17:40:51,1500,debit,Electricity Board,Electricity Board,,UPI,REF383905,Utility bill,Bank Core System
TXN00174,P007,ACC-P007,2025-10-11 10:40:12,55000,credit,Self-employed,Self-employed,L011,NEFT,REF312802,Salary credit,Bank Core System
TXN00175,P007,ACC-P007,2025-10-13 12:35:32,6000,debit,Landlord/Housing,Rent Payment,L001,IMPS,REF288665,Monthly rent,Bank Core System
TXN00176,P007,ACC-P007,2025-10-15 10:30:05,1200,debit,Electricity Board,Electricity Board,,UPI,REF500275,Utility bill,Bank Core System
TXN00177,P007,ACC-P007,2025-11-09 10:35:56,68000,credit,Self-employed,Self-employed,L011,NEFT,REF400677,Salary credit,Bank Core System
